C         0.6000000000000000D+01  0.0000000000000000D+00  0.0000000000000000D+00  0.0000000000000000D+00
H         0.1000000000000000D+01  0.1167406665121862D+01  0.1167406665121862D+01  0.1167406665121862D+01
H         0.1000000000000000D+01  0.1167406665121862D+01 -0.1167406665121862D+01 -0.1167406665121862D+01
H         0.1000000000000000D+01 -0.1167406665121862D+01 -0.1167406665121862D+01  0.1167406665121862D+01
H         0.1000000000000000D+01 -0.1167406665121862D+01  0.1167406665121862D+01 -0.1167406665121862D+01
