C         0.6000000000000000D+01  0.0000000000000000D+00  0.2254110685968483D+01  0.0000000000000000D+00
C         0.6000000000000000D+01  0.2215084061850741D+01  0.6688799034582306D+00  0.0000000000000000D+00
C         0.6000000000000000D+01  0.1404399109303060D+01 -0.1796477597842908D+01  0.0000000000000000D+00
C         0.6000000000000000D+01 -0.1404399109303060D+01 -0.1796477597842908D+01  0.0000000000000000D+00
C         0.6000000000000000D+01 -0.2215084061850741D+01  0.6688799034582306D+00  0.0000000000000000D+00
H         0.1000000000000000D+01  0.0000000000000000D+00  0.4297012351126989D+01  0.0000000000000000D+00
H         0.1000000000000000D+01  0.4144728770624946D+01  0.1326003820637337D+01  0.0000000000000000D+00
H         0.1000000000000000D+01  0.2571505307969629D+01 -0.3471260612113555D+01  0.0000000000000000D+00
H         0.1000000000000000D+01 -0.2571505307969629D+01 -0.3471260612113555D+01  0.0000000000000000D+00
H         0.1000000000000000D+01 -0.4144728770624946D+01  0.1326003820637337D+01  0.0000000000000000D+00
