N     0.0000000000000000D+00  0.0000000000000000D+00 -0.4618456298924467D+01
C     0.0000000000000000D+00  0.0000000000000000D+00 -0.2443818213759760D+01
C     0.0000000000000000D+00  0.0000000000000000D+00  0.1507207653287209D+00
P     0.0000000000000000D+00  0.0000000000000000D+00  0.3072518711518900D+01
