C     0.0000000000000000D+00  0.3064997602087766D+01  0.0000000000000000D+00
C     0.2396310502428432D+01  0.1910994853713677D+01  0.0000000000000000D+00
C     0.2988151894797057D+01 -0.6820266754066628D+00  0.0000000000000000D+00
C     0.1329853089887535D+01 -0.2761467924213892D+01  0.0000000000000000D+00
C    -0.1329853089887535D+01 -0.2761467924213892D+01  0.0000000000000000D+00
C    -0.2988151894797057D+01 -0.6820266754066628D+00  0.0000000000000000D+00
C    -0.2396310502428432D+01  0.1910994853713677D+01  0.0000000000000000D+00
H     0.0000000000000000D+00  0.5115212348768889D+01  0.0000000000000000D+00
H     0.3999232776993752D+01  0.3189282990574246D+01  0.0000000000000000D+00
H     0.4986962315160169D+01 -0.1138242433636489D+01  0.0000000000000000D+00
H     0.2219407583539825D+01 -0.4608646731322202D+01  0.0000000000000000D+00
H    -0.2219407583539825D+01 -0.4608646731322202D+01  0.0000000000000000D+00
H    -0.4986962315160169D+01 -0.1138242433636489D+01  0.0000000000000000D+00
H    -0.3999232776993752D+01  0.3189282990574246D+01  0.0000000000000000D+00
