C         0.6000000000000000D+01  0.0000000000000000D+00  0.0000000000000000D+00 -0.1268423767204661D+01
N         0.7000000000000000D+01  0.0000000000000000D+00  0.0000000000000000D+00  0.1087219831967999D+01
