O         0.8000000000000000D+01 -0.2171659083323142D+01 -0.8292038832549875D+00  0.0000000000000000D+00
N         0.7000000000000000D+01  0.2136535540074270D+01  0.0000000000000000D+00  0.0000000000000000D+00
N         0.7000000000000000D+01  0.0000000000000000D+00  0.0000000000000000D+00  0.0000000000000000D+00
H         0.1000000000000000D+01 -0.2246994351529125D+01 -0.3517288985256151D+01  0.0000000000000000D+00
