S         0.0000000000000000D+00  0.0000000000000000D+00  0.7375524941038946D+00
F         0.0000000000000000D+00  0.3169985108787631D+01  0.5045171544759968D+00
F         0.0000000000000000D+00 -0.3169985108787631D+01  0.5045171544759968D+00
F        -0.2326345287459018D+01  0.0000000000000000D+00 -0.1160119791396345D+01
F         0.2326345287459018D+01  0.0000000000000000D+00 -0.1160119791396345D+01
